State,City,,Population1,"Violent
crime",Murder,"Rape
 (revised
definition)2","Rape
 (legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4,
,CHARLOTTE-MECKLENBURG,2013,"837,638","2,451",24,,124,844,"1,459","14,394","3,042","10,524",828,112,
,,2014,,"2,300",24,,99,780,"1,397","13,879","2,676","10,435",768,81,
,DURHAM,2013,"242,865",717,11,,32,280,394,"4,734","1,458","2,934",342,14,
,,2014,,926,9,,34,298,585,"5,197","1,730","3,165",302,9,
,FAYETTEVILLE,2013,"202,524",521,10,,39,245,227,"5,966","1,645","4,002",319,25,
,,2014,,473,9,,34,205,225,"5,142","1,131","3,698",313,25,
,GREENSBORO,2013,"279,343",681,13,,42,245,381,"5,491","1,344","3,912",235,57,
,,2014,,618,6,,27,209,376,"5,018","1,262","3,523",233,61,
,HIGH POINT,2013,"107,261",228,1,,16,65,146,"2,038",549,"1,335",154,15,
,,2014,,237,3,,12,64,158,"1,874",510,"1,256",108,12,
,WILMINGTON,2013,"110,985",325,4,,18,105,198,"2,586",767,"1,681",138,5,
,,2014,,366,4,,17,112,233,"2,366",648,"1,564",154,12,
,WINSTON-SALEM,2013,"235,811",681,2,,39,203,437,"6,240","1,854","4,075",311,33,
,,2014,,849,6,,45,208,590,"6,149","1,818","4,024",307,43,
NORTH DAKOTA,FARGO,2013,"111,101",212,1,37,,22,152,"1,367",291,"1,005",71,3,
,,2014,,182,3,35,,30,114,"1,282",213,991,78,6,
OHIO,AKRON11,2013,"198,405",833,14,82,,269,468,"4,684","1,478","2,897",309,42,
,,2014,,670,8,83,,175,404,"3,896","1,197","2,466",233,30,
,CINCINNATI11,2013,"296,491","1,418",35,103,,775,505,"7,977","2,467","4,937",573,142,
,,2014,,"1,233",39,100,,626,468,"7,497","2,228","4,760",509,,
,CLEVELAND11,2013,"389,181","2,725",27,216,,"1,621",861,"11,082","3,820","5,242","2,020",149,
,,2014,,"2,461",24,250,,"1,397",790,"9,360","3,068","4,569","1,723",138,
,"COLUMBUS7,11",2013,"816,364",,,,,,,,,,,,
,,2014,,"1,962",47,339,,996,580,"15,983","3,999","10,598","1,386",277,
,DAYTON11,2013,"141,167",623,13,54,,260,296,"3,556","1,181","2,066",309,70,
,,2014,,603,16,65,,266,256,"3,545","1,157","2,128",260,31,
OKLAHOMA,BROKEN ARROW,2013,"102,956",77,0,,21,12,44,"1,012",210,725,77,6,
,,2014,,64,0,12,,26,26,754,157,552,45,7,
,NORMAN,2013,"116,970",81,2,,32,17,30,"1,368",313,982,73,9,
,,2014,,77,3,17,,28,29,"1,399",261,"1,065",73,13,
,OKLAHOMA CITY,2013,"605,034","2,462",30,,195,556,"1,681","15,736","4,003","9,823","1,910",74,
,,2014,,"2,354",20,196,,522,"1,616","13,332","3,146","8,375","1,811",42,
,TULSA,2013,"394,498","1,807",34,,174,464,"1,135","10,037","2,894","5,996","1,147",69,
,,2014,,"1,592",20,176,,428,968,"9,844","2,619","6,059","1,166",68,
OREGON,GRESHAM,2013,"109,965",250,1,,26,117,106,"1,974",355,"1,370",249,11,
,,2014,,237,1,,23,91,122,"2,486",432,"1,681",373,,
,PORTLAND,2013,"609,136","1,412",6,,100,420,886,"14,173","2,005","10,496","1,672",80,
,,2014,,"1,408",13,,129,388,878,"14,646","1,931","11,194","1,521",67,
,SALEM,2013,"158,234",269,2,23,,76,168,"3,534",503,"2,683",348,24,
,,2014,,247,0,25,,48,174,"3,373",439,"2,600",334,14,
PENNSYLVANIA,ALLENTOWN,2013,"119,277",310,7,22,,165,116,"2,012",601,"1,251",160,2,
,,2014,,270,4,34,,131,101,"1,886",477,"1,269",140,4,
,ERIE,2013,"100,814",224,2,36,,89,97,"1,439",439,958,42,14,
,,2014,,177,3,24,,47,103,"1,204",326,844,34,13,
,PHILADELPHIA,2013,"1,553,153","8,202",116,609,,"3,522","3,955","24,733","5,076","16,989","2,668",,
,,2014,,"7,661",115,577,,"3,294","3,675","24,285","4,566","17,078","2,641",197,
RHODE ISLAND,PROVIDENCE,2013,"178,887",506,6,44,,164,292,"3,796",873,"2,416",507,8,
,,2014,,355,7,40,,72,236,"3,035",662,"1,971",402,15,
SOUTH CAROLINA,CHARLESTON,2013,"127,206",111,2,18,,36,55,"1,572",121,"1,372",79,1,
,,2014,,137,5,14,,41,77,"1,490",200,"1,212",78,2,
,COLUMBIA,2013,"132,240",464,2,31,,163,268,"3,851",701,"2,803",347,5,
,,2014,,500,2,37,,154,307,"3,305",510,"2,527",268,5,
,NORTH CHARLESTON,2013,"103,324",337,6,28,,86,217,"2,821",466,"2,112",243,9,
,,2014,,361,9,40,,100,212,"2,738",380,"2,113",245,5,
SOUTH DAKOTA,SIOUX FALLS,2013,"161,754",318,1,78,,33,206,"2,184",348,"1,730",106,11,
,,2014,,394,1,77,,48,268,"2,289",398,"1,764",127,12,
TENNESSEE,CHATTANOOGA,2013,"172,286",870,14,34,,217,605,"5,367","1,105","3,817",445,4,
,,2014,,884,14,70,,181,619,"5,429",979,"3,940",510,6,
,CLARKSVILLE,2013,"145,599",368,3,45,,59,261,"1,990",465,"1,447",78,16,
,,2014,,435,6,32,,55,342,"2,039",463,"1,480",96,14,
,KNOXVILLE,2013,"183,249",721,11,58,,182,470,"5,526","1,088","4,113",325,10,
,,2014,,776,5,59,,194,518,"5,962",979,"4,586",397,6,
,MEMPHIS,2013,"657,691","5,413",62,209,,"1,508","3,634","19,187","5,611","12,189","1,387",177,
,,2014,,"5,597",66,251,,"1,552","3,728","18,130","5,134","11,662","1,334",151,
,MURFREESBORO,2013,"115,587",350,3,23,,67,257,"1,993",376,"1,520",97,3,
,,2014,,269,5,24,,52,188,"1,891",327,"1,479",85,2,
,NASHVILLE,2013,"635,673","3,165",15,211,,794,"2,145","12,479","2,760","9,113",606,51,
,,2014,,"3,262",20,236,,610,"2,396","10,685","2,251","8,002",432,47,
TEXAS,LUBBOCK8,2013,"237,875",896,3,,48,165,680,"5,461","1,276","3,768",417,17,
,,2014,,,5,,,132,737,"5,084","1,059","3,648",377,28,
,MESQUITE8,2013,"144,313",191,4,,10,85,92,"3,109",751,"2,030",328,7,
,,2014,,,1,,,85,111,"2,646",566,"1,701",379,5,
,RICHARDSON8,2013,"104,577",69,2,,12,29,26,"1,399",281,"1,045",73,3,
,,2014,,,1,,,38,39,"1,199",167,960,72,4,
,ROUND ROCK8,2013,"108,577",71,2,,4,23,42,"1,209",148,"1,038",23,4,
,,2014,,,0,,,20,25,"1,031",111,900,20,5,
UTAH,SALT LAKE CITY,2013,"190,246",729,2,105,,194,428,"7,408","1,065","5,532",811,22,
,,2014,,656,1,107,,190,358,"7,298",728,"5,761",809,43,
VIRGINIA,ALEXANDRIA,2013,"148,519",110,3,11,,45,51,"1,448",108,"1,205",135,8,
,,2014,,110,2,8,,63,37,"1,138",86,936,116,7,
,CHESAPEAKE,2013,"230,577",364,1,28,,86,249,"2,931",537,"2,282",112,13,
,,2014,,468,4,33,,82,349,"3,050",563,"2,369",118,10,
,HAMPTON,2013,"136,949",134,12,8,,49,65,"2,047",334,"1,623",90,14,
,,2014,,147,4,26,,46,71,"1,454",219,"1,158",77,9,
,NEWPORT NEWS ,2013,"181,074",373,9,34,,104,226,"2,620",519,"1,951",150,39,
,,2014,,333,10,31,,91,201,"2,479",416,"1,905",158,32,
,NORFOLK,2013,"247,303",699,15,64,,205,415,"5,434","1,039","4,018",377,29,
,,2014,,560,19,49,,156,336,"4,446",597,"3,630",219,13,
,RICHMOND,2013,"212,830",602,14,22,,283,283,"3,972",776,"2,738",458,32,
,,2014,,606,23,11,,262,310,"3,969",832,"2,797",340,26,
,VIRGINIA BEACH,2013,"450,687",394,10,83,,158,143,"5,399",718,"4,517",164,59,
,,2014,,314,12,50,,122,130,"4,647",526,"3,954",167,30,
WASHINGTON,BELLEVUE,2013,"127,678",58,1,,10,20,27,"1,994",393,"1,485",116,10,
,,2014,,74,1,,17,34,22,"2,281",296,"1,849",136,6,
,EVERETT,2013,"105,129",199,0,,18,92,89,"3,216",593,"2,086",537,9,
,,2014,,192,2,,18,73,99,"3,505",616,"2,352",537,13,
,KENT,2013,"124,359",137,2,31,,69,35,"2,716",536,"1,737",443,8,
,,2014,,166,0,32,,65,69,"3,008",440,"2,095",473,9,
,SEATTLE,2013,"642,814","1,731",8,72,,716,935,"16,375","3,778","10,632","1,965",59,
,,2014,,"1,872",13,74,,730,"1,055","18,830","3,386","12,627","2,817",37,
,SPOKANE8,2013,"209,524",,5,,,250,400,"9,361","1,835","6,372","1,154",27,
,,2014,,,5,,,221,288,"8,576","1,514","6,032","1,030",28,
,TACOMA,2013,"203,226",920,6,84,,256,574,"6,104","1,424","3,824",856,44,
,,2014,,731,7,66,,224,434,"5,943","1,495","3,604",844,30,
,VANCOUVER,2013,"166,535",290,2,43,,77,168,"3,095",495,"2,106",494,22,
,,2014,,262,3,40,,70,149,"2,620",391,"1,809",420,26,
WISCONSIN,GREEN BAY,2013,"105,107",228,2,25,,35,166,"1,183",238,900,45,9,
,,2014,,255,3,25,,32,195,"1,068",184,842,42,5,
,KENOSHA,2013,"100,418",141,3,,14,52,72,"1,216",286,898,32,4,
,,2014,,147,4,,10,51,82,"1,045",251,744,50,,
,MADISON,2013,"242,523",400,3,32,,131,234,"3,323",537,"2,693",93,32,
,,2014,,397,4,42,,100,251,"3,126",446,"2,565",115,,
,MILWAUKEE,2013,"600,805","3,840",37,210,,"1,470","2,123","12,302","2,849","7,730","1,723",127,
,,2014,,"3,844",38,181,,"1,503","2,122","12,031","2,353","6,791","2,887",102,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,
