State,City,,Population1,"Violent
crime",Murder,Forcible rape,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
,FORT WAYNE3,2010,,746,23,96,314,313,"8,860","2,140","6,433",287,50,,
,,2011,"254,987",779,18,94,310,357,"9,036","1,888","6,768",380,41,,
,SOUTH BEND,2010,,746,6,52,339,349,"5,929","2,216","3,411",302,51,,
,,2011,"101,685",744,9,60,406,269,"6,096","2,335","3,437",324,43,,
IOWA,CEDAR RAPIDS,2010,,386,2,38,123,223,"4,985","1,028","3,716",241,11,,
, ,2011,"126,988",358,2,41,86,229,"4,879","1,099","3,566",214,17,,
,DAVENPORT3,2010,,868,2,61,209,596,"4,913","1,152","3,535",226,24,,
,,2011,"100,207",652,5,53,113,481,"4,908","1,140","3,529",239,24,,
,DES MOINES,2010,,"1,084",5,118,224,737,"9,813","2,249","6,823",741,43,,
, ,2011,"204,498","1,069",8,103,216,742,"10,727","2,493","7,400",834,44,,
KANSAS,KANSAS CITY3,2010,,823,25,62,289,447,"7,735","1,922","4,684","1,129",,,
,,2011,"146,712",947,27,95,291,534,"7,883","1,827","4,792","1,264",,,
,OLATHE,2010,,216,4,41,28,143,"2,307",243,"1,922",142,19,,
,,2011,"126,671",226,6,48,20,152,"2,204",259,"1,774",171,19,,
,OVERLAND PARK,2010,,289,0,40,36,213,"4,185",491,"3,389",305,38,,
,,2011,"174,473",289,2,60,38,189,"4,015",468,"3,237",310,38,,
,TOPEKA,2010,,697,14,51,222,410,"7,506","1,598","5,404",504,14,,
,,2011,"128,283",698,15,53,235,395,"7,529","1,727","5,213",589,,,
,WICHITA ,2010,,"3,038",16,251,481,"2,290","18,300","4,248","12,515","1,537",129,,
,,2011,"384,796","2,950",25,238,490,"2,197","19,456","4,005","13,550","1,901",139,,
KENTUCKY,LEXINGTON3,2010,,"1,724",18,87,593,"1,026","11,024","2,679","7,704",641,39,,
,,2011,"297,847","1,358",14,105,496,743,"12,418","2,722","9,026",670,30,,
,LOUISVILLE METRO,2010,,"3,734",52,229,"1,603","1,850","29,551","7,571","20,005","1,975",223,,
,,2011,"665,152","4,086",48,230,"1,642","2,166","31,991","8,147","21,569","2,275",237,,
LOUISIANA,BATON ROUGE,2010,,"2,534",69,51,948,"1,466","12,465","3,963","7,812",690,173,,
,,2011,"231,592","2,468",64,51,893,"1,460","12,666","4,220","7,946",500,179,,
,LAFAYETTE,2010,,940,12,20,240,668,"6,989","1,432","5,267",290,26,,
,,2011,"121,726",843,6,15,232,590,"6,511","1,194","5,040",277,,,
,NEW ORLEANS,2010,,"2,593",175,144,953,"1,321","12,645","3,695","6,540","2,410",,,
,,2011,"346,974","2,748",200,163,"1,059","1,326","14,013","3,857","7,616","2,540",,,
,SHREVEPORT,2010,,"1,533",26,121,355,"1,031","9,459","2,616","6,317",526,99,,
,,2011,"201,134","1,544",17,121,355,"1,051","9,584","2,775","6,371",438,86,,
MARYLAND,BALTIMORE,2010,,"9,316",223,265,"3,336","5,492","28,280","7,573","16,298","4,409",321,,
,,2011,"626,848","8,885",196,341,"3,457","4,891","29,824","8,615","17,010","4,199",307,,
MASSACHUSETTS,BOSTON,2010,,"5,819",73,256,"1,926","3,564","20,628","3,587","15,004","2,037",,,
,,2011,"621,359","5,252",63,271,"1,904","3,014","19,445","3,482","14,064","1,899",,,
,CAMBRIDGE,2010,,476,0,22,171,283,"3,232",483,"2,569",180,8,,
,,2011,"105,803",478,5,24,152,297,"3,158",539,"2,464",155,8,,
,LOWELL,2010,,"1,202",3,51,197,951,"3,578",886,"2,286",406,27,,
,,2011,"107,167",795,3,36,168,588,"3,101",914,"1,941",246,33,,
,SPRINGFIELD,2010,,"2,093",17,130,588,"1,358","7,556","2,660","4,023",873,66,,
,,2011,"153,993","1,575",20,30,530,995,"7,340","2,497","4,052",791,55,,
,WORCESTER,2010,,"1,762",7,34,368,"1,353","6,193","1,910","3,690",593,10,,
